"id","tipo","rol","empleado","razon","monto","calculo_id","created_at","updated_at"
"59308","CARGO","EJECUTIVO","5738","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59309","CARGO","EJECUTIVO","4153","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59310","CARGO","EJECUTIVO","5596","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59311","CARGO","EJECUTIVO","5847","Charge Back","233.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59312","CARGO","EJECUTIVO","5920","Charge Back","400.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59313","CARGO","EJECUTIVO","5859","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59314","CARGO","EJECUTIVO","5941","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59315","CARGO","EJECUTIVO","5841","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59316","CARGO","EJECUTIVO","4596","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59317","CARGO","EJECUTIVO","5427","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59318","CARGO","EJECUTIVO","4585","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59319","CARGO","EJECUTIVO","5616","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59320","CARGO","EJECUTIVO","5437","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59321","CARGO","EJECUTIVO","4354","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59322","CARGO","EJECUTIVO","4044","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59323","CARGO","EJECUTIVO","5246","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59324","CARGO","EJECUTIVO","5363","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59325","CARGO","EJECUTIVO","4213","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59326","CARGO","EJECUTIVO","2720","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59327","CARGO","EJECUTIVO","5531","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59328","CARGO","EJECUTIVO","5908","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59329","CARGO","EJECUTIVO","6054","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59330","CARGO","EJECUTIVO","6050","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59331","CARGO","EJECUTIVO","5555","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59332","CARGO","EJECUTIVO","6076","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59333","CARGO","EJECUTIVO","5952","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59334","CARGO","EJECUTIVO","5003","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59335","CARGO","EJECUTIVO","5332","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59336","CARGO","EJECUTIVO","5226","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59337","CARGO","EJECUTIVO","5079","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59338","CARGO","EJECUTIVO","4627","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59339","CARGO","EJECUTIVO","5404","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
